season_year,team,matches_played,wins,losses,win_pct
2017,Royal Challengers Bengaluru,13,3,10,23.08
2017,Sunrisers Hyderabad,14,8,6,57.14
2018,Chennai Super Kings,16,11,5,68.75
2018,Delhi Capitals,14,5,9,35.71
2018,Kolkata Knight Riders,16,9,7,56.25
2018,Mumbai Indians,14,6,8,42.86
2018,Punjab Kings,14,6,8,42.86
2018,Rajasthan Royals,15,7,8,46.67
2018,Royal Challengers Bengaluru,14,6,8,42.86
2018,Sunrisers Hyderabad,17,10,7,58.82
2019,Chennai Super Kings,17,10,7,58.82
2019,Delhi Capitals,16,10,6,62.5
2019,Kolkata Knight Riders,14,6,8,42.86
2019,Mumbai Indians,16,11,5,68.75
2019,Punjab Kings,14,6,8,42.86
2019,Rajasthan Royals,14,5,9,35.71
2019,Royal Challengers Bengaluru,14,5,9,35.71
2019,Sunrisers Hyderabad,15,6,9,40.0
2021,Chennai Super Kings,30,17,13,56.67
2021,Delhi Capitals,33,19,14,57.58
2021,Kolkata Knight Riders,31,16,15,51.61
2021,Mumbai Indians,30,18,12,60.0
2021,Punjab Kings,28,12,16,42.86
2021,Rajasthan Royals,28,11,17,39.29
2021,Royal Challengers Bengaluru,30,16,14,53.33
2021,Sunrisers Hyderabad,30,11,19,36.67
2022,Chennai Super Kings,14,4,10,28.57
2022,Delhi Capitals,14,7,7,50.0
2022,Gujarat Titans,16,12,4,75.0
2022,Kolkata Knight Riders,14,6,8,42.86
2022,Lucknow Super Giants,15,9,6,60.0
2022,Mumbai Indians,14,4,10,28.57
2022,Punjab Kings,14,7,7,50.0
2022,Rajasthan Royals,17,10,7,58.82
2022,Royal Challengers Bengaluru,16,9,7,56.25
2022,Sunrisers Hyderabad,14,6,8,42.86
2023,Chennai Super Kings,16,10,6,62.5
2023,Delhi Capitals,14,5,9,35.71
2023,Gujarat Titans,17,11,6,64.71
2023,Kolkata Knight Riders,14,6,8,42.86
2023,Lucknow Super Giants,15,8,7,53.33
2023,Mumbai Indians,16,9,7,56.25
2023,Punjab Kings,14,6,8,42.86
2023,Rajasthan Royals,14,7,7,50.0
2023,Royal Challengers Bengaluru,14,7,7,50.0
2023,Sunrisers Hyderabad,14,4,10,28.57
2024,Chennai Super Kings,14,7,7,50.0
2024,Delhi Capitals,14,7,7,50.0
2024,Gujarat Titans,12,5,7,41.67
2024,Kolkata Knight Riders,14,11,3,78.57
2024,Lucknow Super Giants,14,7,7,50.0
2024,Mumbai Indians,14,4,10,28.57
2024,Punjab Kings,14,5,9,35.71
2024,Rajasthan Royals,15,9,6,60.0
2024,Royal Challengers Bengaluru,15,7,8,46.67
2024,Sunrisers Hyderabad,16,9,7,56.25
